"","title","subtitle","author_name","author_about","publisher","publisher_date","publisher_year","format","page_count","language","isbn_10","isbn_13","category","sub_category","average_rating","rating_number","price","features_text","dimensions","item_weight","weight_grams"
"11","In My Skin: A Memoir","Paperback – January 10, 2008","Kate Holden","Discover more of the author’s books, see similar authors, read author blogs and more","Arcade Publishing","January 10, 2008",2008,"Paperback",304,"English","1559708425","978-1559708425","Biographies & Memoirs","Memoirs",4,1104,6.84,"An intensely honest memoir of life as an addict follows the one-time arts graduate, history buff, middle-class daughter, dreamer, and innocent into the all-consuming attractions of heroin and the depths of the sex industry, as well as the family love and personal determination that helped her defeat the drug, in a powerful story of degradation and redemption. Reprint.","6.25 x 0.88 x 9.38 inches","14.4 ounces",408.2
"12","Real Life: Preparing for the 7 Most Challenging Days of Your Life","Kindle Edition","Phillip C. McGraw","Phillip C. McGraw, Ph.D., has worked in the field of human functioning and strategic life planning for over twenty years. Dr. McGraw is co-founder and president of Courtroom Sciences, Inc., America's leading litigation consulting firm, and has been associated with some of the highest-profile cases in the country, including Oprah's highly publicized ""Mad Cow"" case. A professional psychologist, he appears regularly on Oprah as her resident expert on human functioning. He lives in Dallas.","Free Press","Reprint edition (September 16, 2008",2008,"",NA,"English","","","Self-Help","Relationships",4.5,237,10.99,"The #1 | New York Times | bestselling advice guru, Dr. Phil McGraw, presents a practical and inspiring guide to overcoming life’s seven biggest crises. | Sooner or later, every adult faces a potentially devastating situation. Dealing with the stress of a traumatic event—whether it’s the loss of a loved one or a sudden illness—requires skills and insights very different to those used to manage day-to-day turbulence. And no author is as equipped as Dr. Phil to guide readers in navigating their most trying moments.  With his trademark calm and prescriptive approach, Dr. Phil divides these life-altering events into seven categories—including loss, fear, adaptability (or lack thereof), physical and mental health—and then teaches readers how to take control in each case. He identifies the different problems that can arise during crisis, from forced changes in plans to fraught emotions to indecision, and shows how to overcome them, step by step. | Real Life | offers advice both on preparing for extreme moments and for dealing with those situations that occur with absolutely no warning. Sensible yet reassuring, it’s filled with lessons, anecdotes, and thoughtful advice that will make the difference between coping with and conquering a problem, even on life’s very worst days.","","",NA
"13","In the Temple of Wolves: A Winter's Immersion in Wild Yellowstone","Paperback – November 21, 2013","Rick Lamplugh","Rick Lamplugh lives in Gardiner, Montana, at Yellowstone’s north gate. He writes to protect wild-life and preserve wild lands. His new book, The Wilds of Aging: A Journey of Heart and Mind—described by reviewers as “piercing and poetic” and “a wonderful and moving read”—takes you on an illuminating journey into the wilds of aging, a passage we all face if we’re lucky. The book is a prequel to his two previous books. Deep into Yellowstone: A Year’s Immersion in Grandeur and Controversy won a Gold Medal in the Independent Publisher Book Awards (IPPY Awards). It was a finalist in the Next Generation Indie Book Awards and in the National Indie Excellence Awards. It won an Honorable Mention in the Eric Hoffer Book Awards and in the INDIES Book Awards. Deep into Yellowstone captures the grandeur of Yellowstone while digging into important controversies. In the Temple of Wolves: A Winter’s Immersion in Wild Yellowstone is an Amazon best seller with more than 300 Five-Star reviews. The book is about the wolves and ecology of Yellowstone’s Lamar Valley and Rick’s experience of living and volunteering there for three winters. Rick’s stories have appeared in Yellowstone Reports and the literary journals Composite Arts Magazine, Gold Man Review, Phoebe, Soundings Review, and Feathered Flounder. He won the Jim Stone Grand Prize for Non-Fiction.","CreateSpace Independent Publishing Platform","1st edition (November 21, 2013",2013,"Paperback",186,"English","1490372059","978-1490372051","Science & Math","Biological Sciences",4.6,723,13.95,"When Rick Lamplugh arrives at the historic Lamar Buffalo Ranch on New Year’s Eve, he has one goal: to learn as much as possible about the ecology of the Lamar Valley. All winter he will work and live in this remote corner of Yellowstone National Park, home to some of the best wildlife watching in the world. Winter-hungry elk and bison migrate there to graze. Wolves, coyotes, and mountain lions stalk the grazers while eagles, ravens, and magpies wait to scavenge. The snowy backdrop makes the saga of death and life easy to spot. He has three frigid months to explore on skis and snowshoes, observe with all his senses, listen to and talk with experts. A literary blend of facts and feelings, In the Temple of Wolves celebrates nature’s stark beauty and treacherous cruelty, while revealing Lamplugh’s inner battles with his own human nature.","5.24 x 0.4 x 7.99 inches","7 ounces",198.4
"14","One Minute Out (Gray Man)","Paperback – Large Print, March 3, 2020","Mark Greaney","Mark Greaney is the #1 NYT bestselling author of BURNER, the 12th GRAY MAN novel. The Netflix production of THE GRAY MAN, starring Ryan Gosling and Chris Evans, was the #1 most popular movie on the streaming service in 2022. Mark has written or co-written seven Tom Clancy novels and is also the co-author of the 2019 military thriller, RED METAL, and the 2022 release, Armored. The Gray Man series also includes, SIERRA SIX, RELENTLESS, ONE MINUTE OUT, MISSION CRITICAL, AGENT IN PLACE, GUNMETAL GRAY, BACK BLAST, DEAD EYE, BALLISTIC, ON TARGET, and THE GRAY MAN. Mark lives in Memphis, Tennessee Learn more at MARKGREANEYBOOKS.COM","Random House Large Print","Large type / Large print edition (March 3, 2020",2020,"Paperback",720,"English","0593171926","978-0593171929","Literature & Fiction","Action & Adventure",4.6,13919,24.99,"Is it ever the wrong time to do the right thing? That's the question the Gray Man faces in the latest explosive novel from | New York Times | bestselling author Mark Greaney. | While on a mission to Croatia, Court Gentry uncovers a human trafficking operation. The trail leads from the Balkans all the way back to Hollywood. Court is determined to shut it down, but his CIA handlers have other plans. The criminal ringleader has actionable intelligence about a potentially devastating terrorist attack on the US. The CIA won't move until they have that intel. It's a moral balancing act with Court at the pivot point.","6.09 x 1.2 x 9.2 inches","1.55 pounds",703.1
"15","The Story of the Little Mole Sound Book","Board book – Picture Book, April 1, 2012","Werner Holzwarth","Discover more of the author’s books, see similar authors, read author blogs and more","Pavilion Children’s Books","BRDBK edition (April 1, 2012",2012,"",NA,"English","1843651327","978-1843651321","Science Fiction & Fantasy","",4.8,1642,25.82,"A modern classic and one of the most popular picture books of the last 20 years – now with sound! | Hear hilarious splat-tastic sounds on every spread! From the loud 'Folump!' of the cow to the little 'ting' as the mole exacts his revenge. | An incredibly popular book with over 3 million copies sold worldwide. | Great for potty training or just having fun and loved by adults and children alike! | A terrible catastrophe befalls the little mole one bright, sunny morning. It looks a little like a sausage, and the worst thing is that it lands right on his head. | Our Plucky little hero sets out to find who has left their business on his head. His highly entertaining and informative search reveals an important but often neglected side of animal life.","11.81 x 0.26 x 8.27 inches","1.65 pounds",748.4
"16","For the Common Defense: A Military History of the United States from 1607 to 2012, 3rd Edition","Paperback – September 25, 2012","Allan R. Millett","Discover more of the author’s books, see similar authors, read author blogs and more","Free Press","3rd edition (September 25, 2012",2012,"Paperback",752,"English","1451623534","978-1451623536","History","Americas",4.6,324,17.59,"Now fully updated and totally revised, this highly regarded classic remains the most comprehensive study available of America’s military history. | Called “the preeminent survey of American military history” by Russell F. Weigley, America’s foremost military historian, | For the Common Defense | is an essential contribution to the field of military history. This carefully researched third edition provides the most complete and current history of United States defense policy and military institutions and the conduct of America’s wars. Without diminishing the value of its earlier editions, authors Allan R. Millett, Peter Maslowski, and William B. Feis provide a fresh perspective on the continuing issues that characterize national security policy. They have updated the work with new material covering nearly twenty years of scholarship, including the history of the American military experience in the Balkans and Somalia, analyzing the wars in Iraq and Afghanistan from 2001 to 2012, and providing two new chapters on the Vietnam War. | For the Common Defense | examines the nation’s pluralistic military institutions in both peace and war, the tangled civil-military relations that created the country’s commitment to civilian control of the military, the armed forces’ increasing nationalization and professionalization, and America’s growing reliance on sophisticated technologies spawned by the Industrial Revolution and the Computer and Information Ages. This edition is also a timely reminder that vigilance is indeed the price of liberty but that vigilance has always been—and continues to be—a costly, complex, and contentious undertaking in a world that continually tests America’s willingness and ability to provide for the common defense.","6 x 1.88 x 9 inches","1.67 pounds",757.5
"17","Slim Aarons: La Dolce Vita (Getty Images)","Kindle Edition","Slim Aarons","Discover more of the author’s books, see similar authors, read author blogs and more","Abrams","November 1, 2012",2012,"",NA,"English","","","Arts & Photography","Photography & Video",4.7,280,19.99,"“Nostalgia-soaked images.” — | Harper’s Bazaar | “Sumptuous images.” — | Publishers Weekly | “It’s the next best thing to time travel.” — | DuJour | magazine | This lavish volume of Slim Aarons photography revels in this photographer’s decades-long love affair with Italy. From breathtaking aerials of the Sicilian countryside to intimate portraits of celebrities and high society taken in magnificent villas, | Slim Aarons: La Dolce Vita | captures the essence of “the good life.”   Slim Aarons first visited Italy as a combat photographer during World War II and later moved to Rome to shoot for | Life | magazine, yet even after relocating to New York, he would return to Italy almost every year for the rest of his life. The images collected here document the aristocracy, cultural elite, and beautiful people, such as Marcello Mastroianni, Ursula Andress, Joan Fontaine, and Tyrone Power, who lived la dolce vita in Italy’s most fabulous places during the last 50 years.   Tracing a journey from the 1940s to the 1990s, | Slim Aarons: La Dolce Vita | takes us to Italy’s fashionable resorts, to its magnificent historic cities and small atmospheric towns, and to glorious landscapes, all reflecting the pleasures of the Italian art of living. Here is a rare glimpse into the lives of the preeminent families’ formal and informal circumstances, photographed in their palaces and on their estates, at their vacation villas and favorite haunts. Handsome men are in tuxedoes. Voluptuous women wear their most glorious gowns. Families walk beautiful gardens.   Here is your chance to experience la dolce vita in this one-of-a-kind coffee table celebration of all things Italian.","","",NA
"18","The White Road (Morland Dynasty)","Paperback – November 1, 2006","Cynthia Harrod-Eagles","Discover more of the author’s books, see similar authors, read author blogs and more","Little, Brown Book Group","November 1, 2006",2006,"Paperback",480,"English","0751533459","978-0751533453","Literature & Fiction","Genre Fiction",4.4,270,13.99,"In the Morland Dynasty series, the majestic sweep of English history is richly and movingly portrayed through the fictional lives of the Morland family. It is 1914, and the outbreak of war is greeted with euphoria. Thousands flock to volunteer. Everyone believes the war will be over by Christmas, so there’s no time to waste. Bertie, a reservist, is one of the first to go to France; Jack is invited to join the Royal Flying Corps, and Ned joins one of the new ""Pals"" units. The brutal reality of Ypres dispels illusion, but only fuels determination, as the war comes home to everyone, in ways they have not expected.","4.1 x 1.2 x 7 inches","9.9 ounces",280.7
"19","Surrendered - Women's Bible Study Participant Workbook: Letting Go and Living Like Jesus","Paperback – April 7, 2020","Barb Roose","Barb Roose is a popular speaker and author who is passionate about teaching women to live beautifully strong and courageous in spite of their fears so that they can experience God’s great adventure of faith and purpose for their lives. Since 2005, Barb has been speaking to audiences in the US and abroad, including national platforms such as the Aspire Women’s Events, She Speaks Conference, and the UMC Leadership Institute. She’s a Bible teacher who loves following God more than anything else in life. Barb makes God’s Word come alive through powerful teaching, personal stories and practical next steps. Audiences love her authenticity and humor. Barb is a real woman who has experienced depression and anxiety, parenting challenges, family addiction trauma and long seasons of walking by faith in unanswered prayer. Rather than teaching audiences to follow God to get what they want, Barb inspires audiences to discover that God is all they need! Writing creative and challenging Bible studies brings Barb great joy! She’s the author of multiple Bible studies, including: Surrendered: Letting Go and Living Like Jesus, I’m Waiting, God: Finding Blessing in God’s Delays, Joshua: Winning the Worry Battle and her newest study, Breakthrough: Finding Freedom in Christ. She is also the author of multiple books including Surrendered: 40 Days to Help You Let Go and Live Like Jesus Devotional, Winning the Worry Battle: Life Lessons from the Book of Joshua and Enough Already: Winning Your Ugly Struggle with Beauty . Barb is part of the Girlfriends in God devotional writing team. Barb’s writing has been featured in magazines and blogs such as Proverbs 31 First5 App, Simple Truth Magazine, iBelieve.com, Crosswalk.com, More to Life Magazine, Just Between Us Magazine, Cherished, InCourage, and Women of Faith. Barb lives in NW Ohio and she is the proud mom to three adult children. Barb enjoys traveling, reading, walking and whenever possible, she prefers to eat dessert first.","Abingdon Press","Workbook edition (April 7, 2020",2020,"Paperback",208,"English","1501896288","978-1501896286","Christian Books & Bibles","Bible Study & Reference",4.8,890,15.42,"Learn How to Surrender Like Jesus | Are you facing a problem in life that you just can't fix, no matter what you do? Perhaps you've heard the phrase ""Let go and let God."" But it's easier said than done. Is it possible that giving up on what you can't change is God's path to peace for your life? In this six-week Bible study of Jesus in the wilderness, Barb explores Jesus' time of testing and contrasts it with the Israelites' failures in the wilderness. As you learn from Jesus' example, you'll discover six principles that will equip you to let God lead you to victory despite your circumstances as you deal with the problems and pain you are facing: 1. Recognize You Can’t Handle It  2. Stop Following Your Feelings 3. Give Up Control and Reach for God 4. Embrace God’s Better Blessing 5. Let Go of Fear 6. Experience the Blessings of a Surrendered LifeIf you're tired of following your feelings or being disappointed by unchanging circumstances, learn how to surrender like Jesus and experience God's power and peace in your life as never before. | Bible Study Features: | A six-week study of Jesus in the wilderness. Helps women find the path of peace through genuine surrender, following the example of Jesus. Workbook includes five lessons for every week of study. DVD features dynamic, engaging teaching in six 20-minute segments.Other components for the Bible study, available separately, include a Leader Guide and DVD. | Praise for Surrendered | Surrendered is the antidote for women like me who struggle with the dreaded c-word, control. Throughrich biblical teaching, vulnerable personal stories, and gentle (but insistent) beckoning, Barb Roose leadsus to a new place of freedom through trust in God. Finally . . . we can learn to release our white-knuckledgrip and rest.―Amy Carroll, Proverbs 31 Ministries speaker and writer, author of | Breaking Up with Perfect | and | Exhale | This study is full of transformative principles to free you from the grip of control. Whether you are temptedto flee difficult circumstances, fix outcomes, or force your way forward, Barb lays out a clear path toexperience God’s lasting peace, power, and provision as you live surrendered to Him.― Katie M. Reid, author of | Made Like Martha | , Bible teacher, and host of The Martha + MaryShow podcastIn this study, you’ll be learning from a friend who is familiar with the painful parts of life and a guide whohas traveled the hard road of surrender. She won’t lead you astray; she’ll lead you straight to the heartof God.―Tiffany Bluhm, speaker, podcaster, and author of | She Dreams | Barb’s surrender principles free us from the need to control others and from anger or frustration over life’sdisappointing and hurtful circumstances. As a Bible study teacher, I highly recommend this study.― Janet Holm McHenry, best-selling author of twenty-four books including | Prayer- | Walk | and | The Compete Guide to the Prayers of Jesus","7 x 0.75 x 9.25 inches","11.2 ounces",317.5
"20","The Sacrifice","Paperback – October 25, 2013","Peg Brantley","Award winning author and Colorado native, Peg Brantley and her husband make their home southeast of Denver, sharing it over time with the occasional pair of mallard ducks and their babies, snapping turtles, peacocks, assorted other birds, foxes, a deer named Cedric, and a bichon named McKenzie. With the intent to lend her stories credibility, Peg is a graduate of the Aurora Citizens' Police Academy, participated in the Writers' Police Academy, has interviewed crime scene investigators, FBI agents, human trafficking experts, obtained her Concealed Carry Permit, studied diverse topics from arson dogs to Santeria, and hunted down real life locations that show up in her stories. You can learn more about Peg at http://www.pegbrantley.com or meet up with her on Facebook at http://www.facebook.com/pegbrantleyauthorpage. From Peg: I love hearing from readers. You make my day when you take the time to contact me, and I make every effort to respond. When you leave a review where readers gather, you help someone decide whether or not to give me a try. I treasure every one of your words.","Bark Publishing, LLC","October 25, 2013",2013,"Paperback",297,"English","0985363851","978-0985363857","Mystery, Thriller & Suspense","Thrillers & Suspense",4.1,1150,12.99,"***THE SACRIFICE is a finalist for two literary awards in 2014. Colorado Book awards in the Suspense/Thriller category and Colorado Authors' League in the Adult Fiction category.***Former lawman Mex Anderson is trying to cope with the horrific murders of his family as best he can. Moving from his small, Mexican town to the snowy mountains of Colorado has helped, however it seems nothing can ever take away the gut-wrenching pain of his loss. When the head of the drug cartel responsible for the killings approaches him with an offer that would reveal the individuals behind the murders, it might lead to the one thing that would allow Mex to heal: revenge.The Sacrifice: a novel of guilt and redemption that proves there is always hope for tomorrow even in the midst of unconscionable evil.","5.5 x 0.67 x 8.5 inches","12.2 ounces",345.9
